species_name,common_name,vocal_learning_status_Wirthlin2024,vocal_learner_binary,group_living,brain_mass_g,adult_body_mass_g,brain_body_ratio,longevity,gestation_days,birth_weight_g,HAQER_matching_bases,HAQER_alignment_base_length,HAQER_sequence_similarity,HAR_matching_bases,HAR_alignment_base_length,HAR_sequence_similarity,HAQER_sequence_similarity_scaled,HAR_sequence_similarity_scaled,neonate_body_mass_g_PanTHERIA,adult_body_mass_g_PanTHERIA,obstetric_risk
Balaenoptera_acutorostrata,Common minke whale,suspected_vocal_learner,1,NA,2850,5587093.59,0.5120423369813214,50,330,320000,167205,327977,50.98070901313202,531678,609586,87.21952275806859,1.1639143625428188,0.9126611528119832,NA,NA,NA
Eschrichtius_robustus,Grey whale,suspected_vocal_learner,1,0,4316.67,30000000.02,0.4861695731662365,80,395,500000,170815,332416,51.38591403542549,531820,609693,87.22750630235217,1.2581220549131267,0.9154218901440028,500000,27324024.19,1.0021982504249638
Orcinus_orca,Killer whale,high_confidence_vocal_learner,1,1,6052,3273000,0.5804958193467566,90,435,159333.33,165933,325715,50.94423038545968,525580,606384,86.67445051320615,1.1554333044493243,0.724173278055004,158745.07,5628758.66,1.0201938413673326
Tursiops_truncatus,Bottlenose dolphin,high_confidence_vocal_learner,1,1,1573,170480,0.6110336895637627,53,365,19350,153308,301229,50.894170216015056,518738,599284,86.55962782253489,1.1437946208605771,0.6844671929580349,24369.6,281040.55,1.1731423156383878
Inia_geoffrensis,Amazon river dolphin,high_confidence_vocal_learner,1,0,633.645,92003.5,0.5644553683447383,26,287,6800,166021,326384,50.86677042992304,517629,599941,86.27998419844619,1.1374243379737583,0.5877654568292356,6799.99,121430.76,0.9468155781326019
Lipotes_vexillifer,Yangtze river dolphin,suspected_vocal_learner,1,0,558,180000,0.5226435349014478,24,319,11593.3,164776,325205,50.668347657631344,524148,606595,86.40822954359993,1.0912922555392495,0.6321131424495242,NA,NA,NA
Delphinapterus_leucas,Beluga whale,high_confidence_vocal_learner,1,1,1921,498250,0.5763155300467269,40,416,66000,167513,328362,51.0147337389832,526002,605917,86.81089984271773,1.1718249034532686,0.7713579299503557,57000,1381640.73,1.0382559578575956
Monodon_monoceros,Narwhal,suspected_vocal_learner,1,1,2993.7,1578329.998,0.5608417774680353,50,450,80000,167229,328321,50.934603634857346,525144,605661,86.70592955465186,1.1531951437420918,0.7350588398817404,79999.99,938126.44,1.243126502749733
Neophocaena_asiaeorientalis,Narrow-ridged finless porpoise,suspected_vocal_learner,1,NA,NA,NA,NA,NA,NA,NA,164462,323981,50.76285337720422,523468,605815,86.40723653260484,1.1132642580242242,0.6317697557997016,NA,NA,NA
Phocoena_phocoena,Harbor porpoise,suspected_vocal_learner,1,0,1735,142430,0.6285506349856363,20,320,6887.5,166135,325929,50.97275787057918,525016,606478,86.56802060420988,1.162065770471154,0.6873694460008705,8892.16,52730.93,1.310650095784133
Kogia_breviceps,Pygmy sperm whale,suspected_vocal_learner,1,1,1019,334000,0.5445894742056862,17,335,82000,165020,324878,50.79445207123905,525175,605978,86.66568753321077,1.1206107613574936,0.7211430091476516,82000,431500,1.4682307344618795
Mesoplodon_bidens,Sowerby’s beaked whale,suspected_vocal_learner,1,0,NA,NA,NA,NA,NA,NA,160048,313365,51.073987203420934,516233,596296,86.57327904262313,1.1856009719679916,0.6891878322614002,NA,NA,NA
Ziphius_cavirostris,Cuvier's beaked whale,high_confidence_vocal_learner,1,0,2004,2273000.001,0.5194440440180698,36,365,NA,158145,310261,50.97160132920347,519703,600093,86.60374308648827,1.161796881666372,0.6997224044007179,NA,NA,NA
Ailurus_fulgens,Lesser panda,non_vocal_learner,0,0,46.8,5590,0.4457065139089048,19,130,102.02,156042,326642,47.771566424403474,536298,611167,87.7498294246908,0.41780831464583307,1.0960430393476006,104.04,5170.08,0.018126573286906967
Lycaon_pictus,African hunting dog,non_vocal_learner,0,0,129,22050,0.48592934897033085,17,72,318,151575,339192,44.68707988395953,536077,611543,87.6597393805505,-0.29931596352276946,1.064889589292457,297.45,21999.99,0.13448973447154286
Vulpes_lagopus,Arctic fox,non_vocal_learner,0,0,35.5,3415,0.4387367492469767,16.3,52,70,158385,336596,47.054926380586814,539277,612402,88.05931398003273,0.2511938822629411,1.2030638731110774,69.17,3584.37,-0.09461612862161813
Spilogale_gracilis,Western spotted skunk,non_vocal_learner,0,0,6.81,420,0.31760119595282976,NA,NA,9.5,156453,332657,47.031326561593474,527498,611673,86.23856210753131,0.24570706851335913,0.5734415539739249,NA,NA,NA
Pteronura_brasiliensis,Giant otter,non_vocal_learner,0,0,85.6,24000,0.44118277818994456,12.8,68,204.25,159177,334748,47.551292315413384,531953,611848,86.94201827904969,0.3665959299142029,0.8166991404754055,204.25,26000,-0.06986234257784796
Mellivora_capensis,Honey badger,non_vocal_learner,0,0,72.97,8080,0.4768231891211287,31.3,70,210,157721,331303,47.60626978928654,531798,611618,86.94937035862253,0.3793778567437969,0.8192415151180156,210,8999.99,0.21246003167365515
Mustela_putorius,European polecat,non_vocal_learner,0,NA,7.87,915,0.3025489128021186,14,42,9.5,153622,328554,46.757001893143894,530329,610523,86.86470452382629,0.18192825889098616,0.7899637754868291,9.5,975.55,-0.9350254852923058
Odobenus_rosmarus,Walrus,high_confidence_vocal_learner,1,NA,1410.25,1022225,0.5240488794650185,40,331,61195.45,168381,341160,49.35543440028139,537219,612226,87.74847850303647,0.7860479435184999,1.0955758859491496,59090.9,1042996.25,1.119027317095561
